,quantity_lsr_cqi,quantity_lsr_rsrp,quantity_lsr_rsrq,quantity_lsr_pusch_sinr,quantity_lsr_uplink_interference,customer_download_throughput_binned,quantity_lsr_ta_binned,Facebook,IP_OTHER,Youtube,Facebook Video,Whatsapp
8127,14.625,-86.0,-10.5,18.05,-118.374,0,0,0,0,1,0,0
8128,11.5,-99.0,-9.0,14.117,-117.767,0,0,0,0,1,0,0
8129,6.0,-110.0,-14.0,13.6,-119.7,0,0,0,0,0,1,0
8130,6.084,-96.143,-18.679,13.87,-115.917,0,0,0,0,0,0,0
8131,13.0,-111.0,-16.0,16.1,-118.86,0,0,0,0,1,0,0
8132,7.8,-114.5,-10.85,11.09,-118.72,1,1,0,0,1,0,0
8133,5.556,-104.556,-16.389,11.633,-117.037,0,0,0,0,1,0,0
8134,7.938,-118.215,-14.215,9.007,-118.154,0,0,1,0,0,0,0
8135,8.0,-110.0,-14.5,16.1,-118.57,0,0,0,0,1,0,0
8136,9.333,-105.0,-10.5,15.033,-118.503,1,0,0,0,1,0,0
8137,12.072,-104.5,-9.75,15.3,-118.477,1,0,1,0,0,0,0
8138,5.25,-93.0,-16.125,18.413,-117.83,0,0,0,0,1,0,0
8139,8.834,-113.25,-12.75,6.0,-118.733,1,0,0,0,0,0,0
8140,15.0,-50.0,-6.0,19.1,-118.93,0,0,0,0,1,0,0
8141,10.0,-97.875,-10.75,12.6,-118.826,0,0,0,0,0,0,0
8142,14.318,-96.2,-10.2,-1.291,-119.155,0,0,0,0,0,0,0
8143,14.5,-89.5,-6.5,14.109000000000002,-117.444,0,0,0,0,0,0,0
8144,7.5,-105.5,-17.25,11.2,-117.16,0,0,0,0,0,0,0
8145,10.2,-99.417,-13.583,16.8,-117.61,0,0,0,0,1,0,0
8146,11.0,-86.0,-5.5,13.9,-119.0,0,0,0,0,0,0,0
8147,9.111,-109.778,-16.25,6.667000000000001,-115.687,0,0,0,0,1,0,0
8148,11.9,-103.7,-10.0,13.17,-117.191,1,0,1,0,0,0,0
8149,4.5,-101.853,-18.513,15.137,-116.694,0,0,0,0,0,0,0
8150,9.667,-111.0,-11.0,12.267,-118.697,0,0,0,0,0,0,1
8151,14.833,-73.0,-7.5,20.833,-118.4,0,0,0,0,0,0,1
8152,10.834,-101.125,-15.25,16.37,-117.599,0,0,0,0,0,0,1
8153,6.875,-113.0,-15.813,8.717,-116.422,0,1,0,0,0,0,0
8154,5.332999999999999,-110.444,-17.611,11.75,-115.022,1,0,1,0,0,0,0
8155,10.0,-100.0,-9.0,-3.9,-117.05,0,0,0,0,0,0,0
8156,4.583,-111.0,-17.5,12.333,-118.248,0,1,0,0,0,0,0
8157,9.0,-92.0,-11.5,16.6,-118.6,0,0,0,0,0,1,0
8158,8.5,-119.0,-12.0,8.35,-118.76,1,0,0,0,0,1,0
8159,9.0,-97.667,-8.5,13.392,-118.112,0,0,0,0,0,0,0
8160,8.5,-114.0,-12.0,2.05,-119.65,1,1,0,0,0,1,0
8161,9.0,-119.667,-12.667,-5.332999999999999,-116.747,0,0,0,0,0,0,1
8162,15.0,-79.0,-10.0,21.6,-118.315,0,0,0,0,0,1,0
8163,10.125,-102.125,-9.125,7.487999999999999,-116.963,0,0,0,0,0,0,1
8164,13.0,-105.0,-8.75,7.7,-118.26,0,0,0,0,0,1,0
8165,13.708,-101.0,-8.5,8.963,-118.499,0,0,0,0,0,0,0
8166,9.0,-114.0,-16.0,11.45,-116.82,0,1,0,0,0,0,0
8167,6.0,-119.0,-12.0,-6.2,-120.16,0,0,0,0,0,0,0
8168,5.0,-119.0,-16.75,13.6,-117.36,0,0,0,0,0,1,0
8169,14.5,-111.5,-8.5,14.05,-119.35,0,0,0,0,0,0,0
8170,3.1,-113.875,-16.25,5.962999999999999,-118.596,0,1,0,0,0,0,0
8171,9.334,-100.75,-10.75,13.134,-119.134,0,0,0,0,0,1,0
8172,8.458,-108.167,-12.146,12.252,-118.459,0,1,0,0,0,1,0
8173,11.1,-121.0,-12.5,20.1,-119.12,0,1,0,0,0,0,0
8174,9.0,-118.0,-10.5,13.8,-117.42,0,1,0,0,0,0,0
8175,11.0,-87.0,-11.0,18.9,-118.67,1,0,1,0,0,0,0
8176,12.5,-98.5,-7.0,14.575,-114.794,0,0,0,0,0,0,1
8177,4.5,-107.5,-12.75,6.9,-117.97,0,1,0,0,0,0,1
8178,11.0,-110.0,-10.75,15.2,-118.0,1,1,1,0,0,0,0
8179,14.0,-96.0,-7.0,17.4,-118.385,1,0,1,0,0,0,0
8180,7.5,-82.0,-11.75,19.925,-118.31,1,0,1,0,0,0,0
8181,8.958,-108.042,-14.458,14.078,-117.857,0,0,0,0,0,0,0
8182,6.0,-110.7,-16.8,11.2,-114.659,0,0,0,0,0,0,1
8183,11.222,-111.0,-8.5,16.410999999999998,-118.761,0,0,0,0,0,0,0
8184,7.332999999999999,-101.333,-14.133,14.944,-118.061,0,0,0,0,0,0,0
8185,15.0,-78.0,-8.0,22.0,-118.27,0,0,0,0,0,0,0
8186,11.0,-101.0,-11.5,14.4,-119.16,0,0,0,0,1,0,0
8187,10.083,-106.75,-13.625,10.478,-118.353,0,0,0,0,0,0,0
